STATION_ID,STATION_TYPE,YEAR,AVG_STATION_DEPTH_m
RT00525,TidalCreek,2000,3.57
RT00526,TidalCreek,2000,3.12
RT00528,TidalCreek,2000,1.00
RT00530,TidalCreek,2000,0.90
RT00531,TidalCreek,2000,2.14
RT00541,TidalCreek,2000,3.87
RT00543,TidalCreek,2000,3.23
RT00544,TidalCreek,2000,3.53
RT00545,TidalCreek,2000,1.80
RT00546,TidalCreek,2000,4.30
RT00547,TidalCreek,2000,1.50
RT00548,TidalCreek,2000,1.20
RT00549,TidalCreek,2000,1.20
RT00550,TidalCreek,2000,1.34
RT00554,TidalCreek,2000,2.53
RT00557,TidalCreek,2000,1.03
RT00558,TidalCreek,2000,2.43
RT01602,TidalCreek,2001,2.95
RT01603,TidalCreek,2001,5.20
RT01606,TidalCreek,2001,2.53
RT01619,TidalCreek,2001,2.25
RT01624,TidalCreek,2001,3.47
RT01625,TidalCreek,2001,1.63
RT01628,TidalCreek,2001,2.70
RT01633,TidalCreek,2001,4.33
RT01642,TidalCreek,2001,1.80
RT01643,TidalCreek,2001,4.20
RT01644,TidalCreek,2001,1.50
RT01645,TidalCreek,2001,2.70
RT01646,TidalCreek,2001,1.78
RT01647,TidalCreek,2001,1.00
RT01648,TidalCreek,2001,3.84
RT01649,TidalCreek,2001,3.67
RT01650,TidalCreek,2001,1.20
RT01652,TidalCreek,2001,2.70
RT01653,TidalCreek,2001,2.21
RT01654,TidalCreek,2001,2.10
RT01655,TidalCreek,2001,1.23
RT01664,TidalCreek,2001,4.20
RT01665,TidalCreek,2001,1.20
RT01668,TidalCreek,2001,2.10
RT022004,TidalCreek,2002,2.70
RT022005,TidalCreek,2002,3.41
RT022006,TidalCreek,2002,3.78
RT022007,TidalCreek,2002,1.50
RT022008,TidalCreek,2002,2.10
RT022009,TidalCreek,2002,2.94
RT022013,TidalCreek,2002,2.40
RT022015,TidalCreek,2002,3.40
RT022016,TidalCreek,2002,2.70
RT022019,TidalCreek,2002,2.66
RT022021,TidalCreek,2002,3.71
RT022022,TidalCreek,2002,1.04
RT022027,TidalCreek,2002,2.59
RT022028,TidalCreek,2002,6.10
RT022030,TidalCreek,2002,1.90
RT022152,TidalCreek,2002,5.05
RT022153,TidalCreek,2002,1.34
RT022154,TidalCreek,2002,1.82
RT022155,TidalCreek,2002,2.39
RT022156,TidalCreek,2002,4.80
RT022157,TidalCreek,2002,4.90
RT022160,TidalCreek,2002,1.91
RT022162,TidalCreek,2002,3.00
RT022164,TidalCreek,2002,2.22
RT022165,TidalCreek,2002,2.10
RT022167,TidalCreek,2002,3.28
RT022170,TidalCreek,2002,5.02
RT022171,TidalCreek,2002,1.67
RT032031,TidalCreek,2003,4.00
RT032032,TidalCreek,2003,5.47
RT032033,TidalCreek,2003,2.28
RT032035,TidalCreek,2003,1.95
RT032039,TidalCreek,2003,3.80
RT032040,TidalCreek,2003,2.70
RT032041,TidalCreek,2003,2.34
RT032043,TidalCreek,2003,1.66
RT032046,TidalCreek,2003,2.85
RT032048,TidalCreek,2003,0.78
RT032050,TidalCreek,2003,1.80
RT032052,TidalCreek,2003,2.10
RT032056,TidalCreek,2003,1.20
RT032057,TidalCreek,2003,1.50
RT032060,TidalCreek,2003,4.90
RT032172,TidalCreek,2003,2.70
RT032173,TidalCreek,2003,1.11
RT032174,TidalCreek,2003,1.20
RT032177,TidalCreek,2003,3.47
RT032178,TidalCreek,2003,2.25
RT032179,TidalCreek,2003,1.80
RT032180,TidalCreek,2003,4.83
RT032181,TidalCreek,2003,1.80
RT032186,TidalCreek,2003,5.28
RT032187,TidalCreek,2003,4.37
RT042061,TidalCreek,2004,2.55
RT042062,TidalCreek,2004,3.42
RT042063,TidalCreek,2004,5.93
RT042064,TidalCreek,2004,1.60
RT042067,TidalCreek,2004,2.37
RT042068,TidalCreek,2004,2.80
RT042069,TidalCreek,2004,3.66
RT042070,TidalCreek,2004,3.55
RT042072,TidalCreek,2004,1.95
RT042073,TidalCreek,2004,1.40
RT042074,TidalCreek,2004,1.80
RT042075,TidalCreek,2004,2.44
RT042076,TidalCreek,2004,2.82
RT042077,TidalCreek,2004,2.14
RT042079,TidalCreek,2004,3.70
RT042080,TidalCreek,2004,1.05
RT042081,TidalCreek,2004,6.10
RT042082,TidalCreek,2004,1.05
RT042083,TidalCreek,2004,1.20
RT042084,TidalCreek,2004,2.56
RT042086,TidalCreek,2004,1.60
RT042087,TidalCreek,2004,2.66
RT042089,TidalCreek,2004,1.66
RT042191,TidalCreek,2004,1.80
RT042193,TidalCreek,2004,1.99
RT042194,TidalCreek,2004,1.35
RT042195,TidalCreek,2004,6.70
RT042196,TidalCreek,2004,2.40
RT052093,TidalCreek,2005,1.46
RT052094,TidalCreek,2005,3.87
RT052095,TidalCreek,2005,4.30
RT052097,TidalCreek,2005,3.00
RT052098,TidalCreek,2005,3.40
RT052099,TidalCreek,2005,1.80
RT052100,TidalCreek,2005,3.41
RT052104,TidalCreek,2005,2.69
RT052105,TidalCreek,2005,2.10
RT052106,TidalCreek,2005,5.32
RT052109,TidalCreek,2005,4.45
RT052110,TidalCreek,2005,1.20
RT052112,TidalCreek,2005,3.00
RT052113,TidalCreek,2005,2.00
RT052115,TidalCreek,2005,2.00
RT052116,TidalCreek,2005,1.50
RT052118,TidalCreek,2005,1.38
RT052119,TidalCreek,2005,2.70
RT052197,TidalCreek,2005,2.65
RT052198,TidalCreek,2005,2.22
RT052200,TidalCreek,2005,4.00
RT052201,TidalCreek,2005,3.50
RT052202,TidalCreek,2005,2.28
RT052203,TidalCreek,2005,1.06
RT06001,TidalCreek,2006,0.60
RT06002,TidalCreek,2006,1.50
RT06003,TidalCreek,2006,3.75
RT06006,TidalCreek,2006,4.00
RT06007,TidalCreek,2006,3.88
RT06008,TidalCreek,2006,1.75
RT06010,TidalCreek,2006,2.73
RT06012,TidalCreek,2006,1.75
RT06013,TidalCreek,2006,2.18
RT06014,TidalCreek,2006,1.55
RT06018,TidalCreek,2006,2.80
RT06019,TidalCreek,2006,2.46
RT06020,TidalCreek,2006,4.15
RT06021,TidalCreek,2006,2.66
RT06024,TidalCreek,2006,2.28
RT06028,TidalCreek,2006,2.82
RT06029,TidalCreek,2006,2.50
RT06031,TidalCreek,2006,1.43
RT06032,TidalCreek,2006,4.40
RT06033,TidalCreek,2006,3.96
RT06035,TidalCreek,2006,1.35
RT06036,TidalCreek,2006,1.95
RT06037,TidalCreek,2006,1.20
RT07038,TidalCreek,2007,2.45
RT07039,TidalCreek,2007,1.50
RT07042,TidalCreek,2007,1.80
RT07043,TidalCreek,2007,5.95
RT07048,TidalCreek,2007,4.00
RT07049,TidalCreek,2007,2.90
RT07053,TidalCreek,2007,3.70
RT07055,TidalCreek,2007,2.85
RT07057,TidalCreek,2007,1.99
RT07058,TidalCreek,2007,2.10
RT07060,TidalCreek,2007,3.00
RT07062,TidalCreek,2007,1.80
RT07065,TidalCreek,2007,1.92
RT08067,TidalCreek,2008,7.10
RT08068,TidalCreek,2008,1.26
RT08069,TidalCreek,2008,1.35
RT08073,TidalCreek,2008,0.90
RT08076,TidalCreek,2008,1.80
RT08078,TidalCreek,2008,3.42
RT08079,TidalCreek,2008,2.23
RT08080,TidalCreek,2008,2.40
RT08081,TidalCreek,2008,2.23
RT08082,TidalCreek,2008,1.30
RT08083,TidalCreek,2008,4.40
RT08084,TidalCreek,2008,1.83
RT08085,TidalCreek,2008,4.45
RT08086,TidalCreek,2008,2.10
RT08088,TidalCreek,2008,3.99
RT09090,TidalCreek,2009,3.00
RT09091,TidalCreek,2009,1.23
RT09092,TidalCreek,2009,1.65
RT09094,TidalCreek,2009,1.33
RT09098,TidalCreek,2009,2.99
RT09099,TidalCreek,2009,3.70
RT09100,TidalCreek,2009,4.00
RT09101,TidalCreek,2009,3.05
RT09103,TidalCreek,2009,4.81
RT09105,TidalCreek,2009,2.25
RT09108,TidalCreek,2009,2.88
RT09110,TidalCreek,2009,2.17
RT09111,TidalCreek,2009,2.40
RT09113,TidalCreek,2009,1.70
RT09114,TidalCreek,2009,4.15
RT10115,TidalCreek,2010,2.35
RT10116,TidalCreek,2010,3.70
RT10119,TidalCreek,2010,3.59
RT10121,TidalCreek,2010,1.97
RT10123,TidalCreek,2010,0.72
RT10126,TidalCreek,2010,4.87
RT10127,TidalCreek,2010,3.43
RT10129,TidalCreek,2010,5.29
RT10131,TidalCreek,2010,7.60
RT10132,TidalCreek,2010,2.90
RT10133,TidalCreek,2010,5.50
RT10137,TidalCreek,2010,1.18
RT10138,TidalCreek,2010,3.40
RT10139,TidalCreek,2010,1.96
RT11001,TidalCreek,2011,1.97
RT11002,TidalCreek,2011,1.20
RT11003,TidalCreek,2011,3.35
RT11004,TidalCreek,2011,1.30
RT11005,TidalCreek,2011,2.53
RT11006,TidalCreek,2011,2.60
RT11009,TidalCreek,2011,3.91
RT11010,TidalCreek,2011,2.40
RT11011,TidalCreek,2011,4.88
RT11012,TidalCreek,2011,1.97
RT11013,TidalCreek,2011,4.23
RT11015,TidalCreek,2011,1.76
RT11016,TidalCreek,2011,1.80
RT12023,TidalCreek,2012,1.20
RT12024,TidalCreek,2012,3.40
RT12025,TidalCreek,2012,1.33
RT12026,TidalCreek,2012,1.63
RT12028,TidalCreek,2012,1.62
RT12031,TidalCreek,2012,2.23
RT12032,TidalCreek,2012,3.01
RT12033,TidalCreek,2012,1.00
RT12034,TidalCreek,2012,1.80
RT12037,TidalCreek,2012,1.68
RT12038,TidalCreek,2012,3.38
RT12039,TidalCreek,2012,3.20
RT13040,TidalCreek,2013,2.46
RT13043,TidalCreek,2013,1.80
RT13044,TidalCreek,2013,1.82
RT13049,TidalCreek,2013,2.10
RT13052,TidalCreek,2013,2.75
RT13054,TidalCreek,2013,2.13
RT13055,TidalCreek,2013,5.80
RT13057,TidalCreek,2013,1.80
RT13059,TidalCreek,2013,1.20
RT13060,TidalCreek,2013,1.20
RT13061,TidalCreek,2013,2.90
RT13062,TidalCreek,2013,1.80
RT14063,TidalCreek,2014,1.84
RT14065,TidalCreek,2014,2.51
RT14066,TidalCreek,2014,1.55
RT14067,TidalCreek,2014,3.13
RT14068,TidalCreek,2014,1.33
RT14070,TidalCreek,2014,1.38
RT14075,TidalCreek,2014,1.88
RT14076,TidalCreek,2014,3.28
RT14078,TidalCreek,2014,2.83
RT14080,TidalCreek,2014,1.56
RT14082,TidalCreek,2014,2.20
RT14083,TidalCreek,2014,3.86
