SP_CODE,SpCodeTaxon,Accepted,CorrectedTaxonName,Level,Phylum,Class,Order,Family,Genus,Species,OrganismCategory,OrgCat2,OrgCatAbbrev,OrgCat3,PloverPrey,PreyCat,Common Name,Comments
A238,Selene setapinnis,yes,Selene setapinnis,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Selene,setapinnis,fish-bony,fish,O,fish,No,,Atlantic moonfish,
A245,Lutjanus griseus,yes,Lutjanus griseus,Species,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,griseus,fish-bony,fish,O,fish,No,,gray snapper,
A247,Lutjanus mahogoni,yes,Lutjanus mahogoni,Species,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,mahogoni,fish-bony,fish,O,fish,No,,Mahogany snapper,
A256,Eucinostomus gula,yes,Eucinostomus gula,Species,Chordata,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,gula,fish-bony,fish,O,fish,No,,silver jenny,
A262,Orthopristis chrysoptera,yes,Orthopristis chrysoptera,Species,Chordata,Actinopterygii,Perciformes,Haemulidae,Orthopristis,chrysoptera,fish-bony,fish,O,fish,No,,pigfish,
A263,Archosargus probatocephalus,yes,Archosargus probatocephalus,Species,Chordata,Actinopterygii,Perciformes,Sparidae,Archosargus,probatocephalus,fish-bony,fish,O,fish,No,,sheepshead,
A271,Lagodon rhomboides,yes,Lagodon rhomboides,Species,Chordata,Actinopterygii,Perciformes,Sparidae,Lagodon,rhomboides,fish-bony,fish,O,fish,No,,pinfish,
A274,Stenotomus chrysops,yes,Stenotomus chrysops,Species,Chordata,Actinopterygii,Perciformes,Sparidae,Stenotomus,chrysops,fish-bony,fish,O,fish,No,,scup/porgy,
A275,Bairdiella chrysoura,yes,Bairdiella chrysoura,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Bairdiella,chrysoura,fish-bony,fish,O,fish,No,,silver perch,
A276,Cynoscion nebulosus,yes,Cynoscion nebulosus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,nebulosus,fish-bony,fish,O,fish,No,,spotted seatrout,
A277,Cynoscion nothus,yes,Cynoscion nothus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,nothus,fish-bony,fish,O,fish,No,,silver seatrout,
A278,Cynoscion regalis,yes,Cynoscion regalis,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,regalis ,fish-bony,fish,O,fish,No,,weakfish,
A279,Pareques acuminatus,yes,Pareques acuminatus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pareques,acuminatus,fish-bony,fish,O,fish,No,,high-hat,
A283,Larimus fasciatus,yes,Larimus fasciatus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Larimus,fasciatus,fish-bony,fish,O,fish,No,,banded drum,
A284,Leiostomus xanthurus,yes,Leiostomus xanthurus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Leiostomus,xanthurus,fish-bony,fish,O,fish,No,,spot,
A285,Menticirrhus americanus,yes,Menticirrhus americanus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus,americanus,fish-bony,fish,O,fish,No,,southern kingfish,
A286,Menticirrhus littoralis,yes,Menticirrhus littoralis,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus,littoralis,fish-bony,fish,O,fish,No,,Gulf kingfish,
A288,Micropogonias undulatus,yes,Micropogonias undulatus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,undulatus,fish-bony,fish,O,fish,No,,Atlantic croaker,
A289,Pogonias cromis,yes,Pogonias cromis,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pogonias,cromis,fish-bony,fish,O,fish,No,,black drum,
A290,Sciaenops ocellata,no,Sciaenops ocellatus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Sciaenops,ocellatus,fish-bony,fish,O,fish,No,,red drum,
A291,Stellifer lanceolatus,yes,Stellifer lanceolatus,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Stellifer,lanceolatus,fish-bony,fish,O,fish,No,,star drum,
A292,Umbrina coroides,yes,Umbrina coroides,Species,Chordata,Actinopterygii,Perciformes,Sciaenidae,Umbrina,coroides,fish-bony,fish,O,fish,No,,sand drum,
A297,Chaetodipterus faber,yes,Chaetodipterus faber,Species,Chordata,Actinopterygii,Perciformes,Ephippidae,Chaetodipterus,faber,fish-bony,fish,O,fish,No,,Atlantic spadefish,
A298,Chaetodon aya,no,Prognathodes aya,Species,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Prognathodes,aya,fish-bony,fish,O,fish,No,,bank butterflyfish,
A306,Pomacanthus paru,yes,Pomacanthus paru,Species,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,paru,fish-bony,fish,O,fish,No,,french angelfish,
A320,Mugil cephalus,yes,Mugil cephalus,Species,Chordata,Actinopterygii,Perciformes,Mugilidae,Mugil,cephalus,fish-bony,fish,O,fish,No,,striped mullet,
A321,Mugil curema,yes,Mugil curema,Species,Chordata,Actinopterygii,Perciformes,Mugilidae,Mugil,curema,fish-bony,fish,O,fish,No,,white mullet,
A322,Sphyraena barracuda,yes,Sphyraena barracuda,Species,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,barracuda,fish-bony,fish,O,fish,No,,great barracuda,
A328,Astroscopus y-graecum,yes,Astroscopus y-graecum,Species,Chordata,Actinopterygii,Perciformes,Uranoscopidae,Astroscopus,y-graecum,fish-bony,fish,O,fish,No,,southern stargazer,
A331,Chasmodes bosquianus,yes,Chasmodes bosquianus,Species,Chordata,Actinopterygii,Perciformes,Blenniidae,Chasmodes,bosquianus,fish-bony,fish,O,fish,No,,striped blenny,
A334,Hypsoblennius hentzi,no,Hypsoblennius hentz,Species,Chordata,Actinopterygii,Perciformes,Blenniidae,Hypsoblennius,hentz,fish-bony,fish,O,fish,No,,feather blenny,
A341,Evorthodus lyricus,yes,Evorthodus lyricus,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Evorthodus,lyricus,fish-bony,fish,O,fish,No,,lyre goby,
A342,Gobionellus boleosoma,no,Ctenogobius boleosoma,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Ctenogobius,boleosoma,fish-bony,fish,O,fish,No,,darter goby,
A343,Gobionellus hastatus,no,Gobionellus oceanicus,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobionellus,oceanicus,fish-bony,fish,O,fish,No,,highfin goby,Repeat of A344R
A344R,Gobionellus oceanicus,yes,Gobionellus oceanicus,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobionellus,oceanicus,fish-bony,fish,O,fish,No,,highfin goby,repeat of A343
A345R,Gobionellus smaragdus,no,Ctenogobius smaragdus,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Ctenogobius,smaragdus,fish-bony,fish,O,fish,No,,emerald goby,
A347,Gobiosoma bosci,no,Gobiosoma bosc,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiosoma,bosc,fish-bony,fish,O,fish,No,,naked goby,
A353,Trichiurus lepturus,yes,Trichiurus lepturus,Species,Chordata,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,fish-bony,fish,O,fish,No,,Atlantic cutlassfish,
A362,Scomberomorus maculatus,yes,Scomberomorus maculatus,Species,Chordata,Actinopterygii,Perciformes,Scombridae,Scomberomorus,maculatus,fish-bony,fish,O,fish,No,,Spanish mackerel,
A363,Scomberomorus regalis,yes,Scomberomorus regalis,Species,Chordata,Actinopterygii,Perciformes,Scombridae,Scomberomorus,regalis ,fish-bony,fish,O,fish,No,,painted mackerel,
A375,Peprilus alepidotus,no,Peprilus paru,Species,Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,paru,fish-bony,fish,O,fish,No,,American harvestfish,Repeat of B423
A376,Peprilus triacanthus,yes,Peprilus triacanthus,Species,Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,triacanthus,fish-bony,fish,O,fish,No,,butterfish,
A392,Prionotus carolinus,yes,Prionotus carolinus,Species,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus,carolinus,fish-bony,fish,O,fish,No,,northern searobin,
A393,Prionotus evolans,yes,Prionotus evolans,Species,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus,evolans,fish-bony,fish,O,fish,No,,striped searobin,
A397,Prionotus scitulus,yes,Prionotus scitulus,Species,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus,scitulus,fish-bony,fish,O,fish,No,,leopard searobin,
A398,Prionotus tribulus,yes,Prionotus tribulus,Species,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus,tribulus,fish-bony,fish,O,fish,No,,bighead searobin,
A401,Ancylopsetta ommata,yes,Ancylopsetta ommata,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Ancylopsetta,ommata,fish-bony,fish,O,fish,No,,ocellated flounder,
A405,Citharichthys macrops,yes,Citharichthys macrops,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,macrops,fish-bony,fish,O,fish,No,,spotted whiff,
A406,Citharichthys spilopterus,yes,Citharichthys spilopterus,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,spilopterus,fish-bony,fish,O,fish,No,,bay whiff,
A408,Etropus crossotus,yes,Etropus crossotus,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Etropus,crossotus,fish-bony,fish,O,fish,No,,fringed flounder,
A409,Etropus microstomus,yes,Etropus microstomus,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Etropus,microstomus,fish-bony,fish,O,fish,No,,smallmouth flounder,
A412,Paralichthys albigutta,yes,Paralichthys albigutta,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,albigutta,fish-bony,fish,O,fish,No,,Gulf flounder,
A413,Paralichthys dentatus,yes,Paralichthys dentatus,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,dentatus,fish-bony,fish,O,fish,No,,summer flounder,
A414,Paralichthys lethostigma,yes,Paralichthys lethostigma,Species,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,lethostigma,fish-bony,fish,O,fish,No,,southern flounder,
A420,Trinectes maculatus,yes,Trinectes maculatus,Species,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,Trinectes,maculatus,fish-bony,fish,O,fish,No,,hogchoker,
A422,Symphurus plagiusa,yes,Symphurus plagiusa,Species,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Symphurus,plagiusa,fish-bony,fish,O,fish,No,,blackcheek tonguefish,Repeat
A423,Symphurus urospilus,yes,Symphurus urospilus,Species,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Symphurus,urospilus,fish-bony,fish,O,fish,No,,spottail tonguefish,
A426,Aluterus schoepfi,no,Aluterus schoepfii,Species,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,schoepfii,fish-bony,fish,O,fish,No,,orange filefish,
A434,Stephanolepis hispida,no,Stephanolepis hispidus,Species,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Stephanolepis,hispidus,fish-bony,fish,O,fish,No,,planehead filefish,
A443,Sphoeroides dorsalis,yes,Sphoeroides dorsalis,Species,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,dorsalis,fish-bony,fish,O,fish,No,,marbled puffer,
A444,Sphoeroides maculatus,yes,Sphoeroides maculatus,Species,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,maculatus,fish-bony,fish,O,fish,No,,northern puffer,
A448,Chilomycterus schoepfi,no,Chilomycterus schoepfii,Species,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Chilomycterus,schoepfii,fish-bony,fish,O,fish,No,,striped burrfish,
A453,Dorosoma petenense,yes,Dorosoma petenense,Species,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma ,petenense,fish-bony,fish,O,fish,No,,threadfin shad,
A460,Gobiidae,yes,Gobiidae,Family,Chordata,Actinopterygii,Perciformes,Gobiidae,na,na,fish-bony,fish,O,fish,No,,,Repeat
