HUC_ID,HUC_DIGITS,YEAR,UPLAND,PRCT_IMPERV
3040207,8,2006,1,0.739284047
3040208,8,2006,1,6.501051219
3050112,8,2006,1,0.266161134
3050201,8,2006,1,4.941110209
3050202,8,2006,1,1.628286438
3050205,8,2006,1,0.988793625
3050206,8,2006,1,0.475355456
3050207,8,2006,1,0.717190576
3050208,8,2006,1,1.604221549
3050209,8,2006,1,1.321395495
3050210,8,2006,1,0.571923573
3060109,8,2006,1,2.275592958
3060110,8,2006,1,1.761793297
3060202,8,2006,1,1.024830167
3060203,8,2006,1,1.542769603
3060204,8,2006,1,2.110875859
3040204,8,2011,1,1.168787791
3040205,8,2011,1,1.089800639
3040206,8,2011,1,1.809873592
3040207,8,2011,1,0.763383774
3040208,8,2011,1,6.899810038
3050112,8,2011,1,0.268145803
3050201,8,2011,1,5.255864809
3050202,8,2011,1,1.763079462
3050205,8,2011,1,1.000514769
3050206,8,2011,1,0.48057144
3050207,8,2011,1,0.728621087
3050208,8,2011,1,1.70090784
3050209,8,2011,1,1.36407465
3050210,8,2011,1,0.576506727
3060109,8,2011,1,2.533061507
3060110,8,2011,1,2.004101603
3060202,8,2011,1,1.050873714
3060203,8,2011,1,1.59102086
3060204,8,2011,1,2.260842228
3040204,8,2001,2,1.129690262
3040205,8,2001,2,0.99501258
3040206,8,2001,2,1.356860164
3040207,8,2001,2,0.759856229
3040208,8,2001,2,6.109990879
3050112,8,2001,2,0.284467667
3050201,8,2001,2,4.570514136
3050202,8,2001,2,1.683550483
3050205,8,2001,2,0.96034437
3050206,8,2001,2,0.51716294
3050207,8,2001,2,0.753722787
3050208,8,2001,2,1.576061269
3050209,8,2001,2,2.182142382
3050210,8,2001,2,1.384990792
3060109,8,2001,2,2.031876945
3060110,8,2001,2,1.582225511
3060202,8,2001,2,0.980019148
3060203,8,2001,2,1.486471506
3060204,8,2001,2,2.598343263
3040204,8,2006,2,1.169430388
3040205,8,2006,2,1.061765553
3040206,8,2006,2,1.69932606
3040207,8,2006,2,0.815724286
3040208,8,2006,2,7.099191585
3050112,8,2006,2,0.288036205
3050201,8,2006,2,5.312202578
3050202,8,2006,2,1.853687747
3050205,8,2006,2,0.999272503
3050206,8,2006,2,0.526515731
3050207,8,2006,2,0.778609611
3050208,8,2006,2,1.803908862
3050209,8,2006,2,2.4167332
3050210,8,2006,2,1.463075506
3060109,8,2006,2,2.449790824
3060110,8,2006,2,2.034649236
3060202,8,2006,2,1.04700199
3060203,8,2006,2,1.574876127
3060204,8,2006,2,3.045958524
3040204,8,2011,2,1.185550199
3040205,8,2011,2,1.109512336
3040206,8,2011,2,1.884189117
3040207,8,2011,2,0.842616093
3040208,8,2011,2,7.534155744
3050112,8,2011,2,0.29020546
3050201,8,2011,2,5.650541799
3050202,8,2011,2,2.011060223
3050205,8,2011,2,1.011049404
3050206,8,2011,2,0.532284622
3050207,8,2011,2,0.791141746
3050208,8,2011,2,1.913814354
3050209,8,2011,2,2.497085828
3050210,8,2011,2,1.476813996
3060109,8,2011,2,2.7275185
3060110,8,2011,2,2.31983176
3060202,8,2011,2,1.073234314
3060203,8,2011,2,1.624128075
3060204,8,2011,2,3.2636097
304020604,10,2001,0,0.154979782
304020606,10,2001,0,0.346163036
304020801,10,2001,0,1.169829292
304020802,10,2001,0,2.6420802
306020206,10,2001,0,0.689611357
306020306,10,2001,0,0.371302588
306020401,10,2001,0,1.741716132
306020402,10,2001,0,3.966032516
306020403,10,2001,0,2.856961916
305020604,10,2001,0,0.316199122
305020702,10,2001,0,0.748315154
305020705,10,2001,0,0.356667277
305020706,10,2001,0,0.479937839
305020707,10,2001,0,0.338338644
305020708,10,2001,0,1.53464565
305020709,10,2001,0,0.53252205
305020710,10,2001,0,0.213893631
305020711,10,2001,0,0.342469803
305020801,10,2001,0,1.599086753
306020405,10,2001,0,0.318270797
305020803,10,2001,0,0.363959355
305020804,10,2001,0,1.105931974
305020805,10,2001,0,3.127574717
305020806,10,2001,0,0.950673435
305020901,10,2001,0,0.003000781
305020902,10,2001,0,0.771184001
305021001,10,2001,0,0.194367064
306010902,10,2001,0,0.684123043
304020408,10,2001,0,0.611201808
304020508,10,2001,0,0.32052027
304020509,10,2001,0,0.418615682
304020608,10,2001,0,1.832488527
304020609,10,2001,0,3.438177683
304020610,10,2001,0,2.493635695
304020701,10,2001,0,1.208119436
304020804,10,2001,0,1.001689398
305011202,10,2001,0,0.153092477
305011203,10,2001,0,0.084790268
305011204,10,2001,0,0.151402304
305020101,10,2001,0,0.493343559
305020102,10,2001,0,0.451060727
305020103,10,2001,0,0.131612404
305020104,10,2001,0,3.128293034
305020105,10,2001,0,1.019157051
305020106,10,2001,0,11.55057248
305020107,10,2001,0,6.5437649
305020201,10,2001,0,0.203893805
