HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D,A_prct,B_prct,C_prct,D_prct,AD_prct,BD_prct,CD_prct
3060109,8,2,356767200,168905700,213130800,131263200,182726100,475248600,702116100,15.99739785,7.573711043,9.556759148,5.885825922,8.193416098,21.31008942,31.48280052
3060110,8,2,126979200,19576800,46813500,11053800,109783800,155412000,241650900,17.85246109,2.752372517,6.581677844,1.554093382,15.43489814,21.84993041,33.97456662
3060202,8,2,603194400,713729700,328845600,145728900,227693700,674233200,241039800,20.55551313,24.32230839,11.20632096,4.96611427,7.759290935,22.9763562,8.214096108
3060203,8,2,684355500,814958100,405530100,9235800,400203000,931944600,201497400,19.84948333,23.63756443,11.76225363,0.267881033,11.60774302,27.03071548,5.844359084
3060204,8,2,314970300,3429000,59170500,27676800,262831500,544713300,788124600,15.74130548,0.171371512,2.957170616,1.383206491,13.13555891,27.22319678,39.38819021
304020604,10,0,4510800,25711200,5103900,0,195318000,195224400,7634700,1.040546432,5.931031619,1.177362094,0,45.05574356,45.03415201,1.761164283
304020606,10,0,22504500,11721600,10158300,1088100,104422500,125085600,17069400,7.705701079,4.013559322,3.478274268,0.37257319,35.7550077,42.83020031,5.844684129
304020801,10,0,113589000,24777900,4582800,6582600,141129900,83124000,0,30.38876235,6.628896412,1.226048474,1.7610602,37.75685138,22.23838119,0
304020802,10,0,69677100,10772100,2985300,3783600,86130900,37137600,0,33.10286736,5.117712957,1.418285059,1.797549108,40.91989704,17.64368848,0
306020206,10,0,124190100,37371600,7184700,0,54560700,152020800,138828600,24.15414373,7.268526217,1.397376091,0,10.61169119,29.56702872,27.00123406
306020306,10,0,122543100,11702700,24408900,790200,53974800,235054800,77499000,23.29834108,2.224960003,4.640709085,0.150235706,10.26188582,44.6894758,14.73439251
306020401,10,0,36086400,0,2503800,131328900,11269800,14440500,752400,18.37563359,0,1.274965399,66.87427246,5.738719168,7.353278155,0.383131227
306020402,10,0,21429000,1575900,9934200,72757800,24617700,153077400,111733200,5.423344297,0.39883561,2.514190439,18.41385971,6.230354328,38.74149257,28.27792305
306020403,10,0,53330400,0,10864800,117257400,23571900,124014600,63551700,13.58422052,0,2.767461693,29.86758732,6.004190623,31.58876876,16.18777108
305020604,10,0,52179300,72926100,8567100,0,140251500,0,124624800,13.09232395,18.29790982,2.149573653,0,35.1905463,0,31.26964628
305020702,10,0,48190500,102803400,57925800,0,44395200,91236600,5633100,13.7614561,29.35691632,16.54150411,0,12.6776563,26.05385845,1.608608717
305020705,10,0,40934700,75623400,108683100,3707100,90094500,377649000,44168400,5.525293436,10.20751283,14.66985269,0.500377804,12.16079633,50.97439436,5.961772545
305020706,10,0,53400600,64944900,52176600,3629700,83813400,122688000,28495800,13.05162667,15.87316601,12.75246915,0.887134027,20.48481116,29.98614197,6.96465102
305020707,10,0,125259300,21784500,14424300,66087900,81147600,112141800,230445000,19.23248063,3.344821296,2.214726334,10.14722465,12.45951115,17.21840211,35.38283383
305020708,10,0,68108400,18006300,28838700,406800,53427600,180492300,19242900,18.48145163,4.88607224,7.82548172,0.110386597,14.4977654,48.97721445,5.221627958
305020709,10,0,23802300,10244700,40844700,9005400,6031800,123063300,119011500,7.169287571,3.085718623,12.30248338,2.712439651,1.816786982,37.06684594,35.84643786
305020710,10,0,30604500,2620800,5567400,65960100,47629800,34420500,109767600,10.31946177,0.883701593,1.877258947,22.24093614,16.06018396,11.60617013,37.01228746
305020711,10,0,55513800,6809400,7818300,156148200,21804300,37912500,32843700,17.41062104,2.135611017,2.452029197,48.97227601,6.83841503,11.89037987,10.30066784
305020801,10,0,32288400,29886300,24813900,0,20565900,49875300,3843900,20.02087135,18.53141585,15.3862037,0,12.75217224,30.92587322,2.38346364
306020405,10,0,50113800,0,24447600,155525400,37362600,100006200,120055500,10.27951979,0,5.014778125,31.90191977,7.663948575,20.51362523,24.62620851
305020803,10,0,43112700,22065300,14193000,0,71137800,64243800,3843900,19.72250242,10.09407744,6.492784651,0,32.54297301,29.38921712,1.758445355
305020804,10,0,135702000,27996300,37349100,23208300,89630100,182632500,63257400,24.24220987,5.001342502,6.672154579,4.145999907,16.01178829,32.62601431,11.30049054
305020805,10,0,67877100,5729400,224100,68250600,23606100,10944900,2226600,37.95010366,3.203308979,0.125294366,38.1589276,13.19817644,6.119296339,1.244892619
305020806,10,0,156881700,20439000,25223400,192181500,65069100,90972000,184510800,21.3363934,2.779766823,3.430459928,26.1372747,8.849597601,12.37247162,25.09403593
305020901,10,0,1891800,1914300,0,0,10387800,0,79711200,2.014587067,2.038547427,0,0,11.062019,0,84.88484651
305020902,10,0,73874700,16704000,2291400,0,148147200,0,142929000,19.24089384,4.350608405,0.596802209,0,38.58539593,0,37.22629962
305021001,10,0,27988200,6434100,0,102141900,10595700,1359000,0,18.84487429,4.332175905,0,68.77367123,7.134243521,0.915035056,0
306010902,10,0,136212300,28592100,919800,3108600,78526800,130992300,129904200,26.79993413,5.625530122,0.180971758,0.611620795,15.45024251,25.77289284,25.55880785
304020408,10,0,124294500,58579200,47443500,25091100,314383500,118048500,182637900,14.27887568,6.729542451,5.450280087,2.882450129,36.11618304,13.56133904,20.98132957
304020508,10,0,58424400,3492000,62593200,0,48364200,288882900,186751800,9.009041516,0.538466342,9.651870407,0,7.457758842,44.54573841,28.79712448
304020509,10,0,78122700,759600,13739400,0,86244300,355404600,394310700,8.413124408,0.081802207,1.479611963,0,9.287748956,38.27393466,42.46377781
304020608,10,0,60369300,13998600,2781900,117000,67449600,57702600,134029800,17.94308673,4.160692504,0.826842004,0.034774979,20.04750797,17.15048471,39.8366111
304020609,10,0,66918600,4818600,0,0,188741700,141762600,140391900,12.33219334,0.888002839,0,0,34.78254379,26.12493075,25.87232927
304020610,10,0,51273000,101700,0,0,57825000,42341400,52793100,25.09271576,0.049771404,0,0,28.29922744,20.72164131,25.83664409
304020701,10,0,33090300,0,0,45900,28924200,91325700,264996000,7.909109878,0,0,0.010970833,6.91334548,21.82830002,63.33827379
304020804,10,0,16703100,0,0,21352500,38340900,1773900,0,21.36755089,0,0,27.31532652,49.04784931,2.26927328,0
305011202,10,0,25983900,14873400,38457900,0,13498200,76602600,380472300,4.725305121,2.704803867,6.993765825,0,2.454716712,13.93057463,69.19083385
305011203,10,0,72485100,4608000,10356300,22106700,99536400,15427800,103995900,22.06439135,1.402670553,3.152447277,6.729257187,30.29877979,4.696206762,31.65624709
305011204,10,0,42455700,0,583200,60729300,34233300,42958800,130729500,13.62113871,0,0.187109107,19.48389071,10.98313131,13.78254919,41.94218098
305020101,10,0,128700,13835700,20743200,0,2115900,25568100,23067000,0.150599238,16.1899446,24.27280578,0,2.475935716,29.91869747,26.99201719
305020102,10,0,7909200,13824900,38349900,0,7524000,58937400,206337600,2.375969935,4.153080812,11.52053424,0,2.260253603,17.70513964,61.98502176
305020103,10,0,32132700,11426400,57816000,7701300,50561100,113339700,197080200,6.835909827,2.430852062,12.29977445,1.638374377,10.7563672,24.11188506,41.92683702
305020104,10,0,36479700,17009100,9294300,16321500,111691800,1941300,72107100,13.77399141,6.422289582,3.509338299,6.162665833,42.17254785,0.732995324,27.22617171
305020105,10,0,1579500,8379000,132451200,0,12144600,151705800,255942000,0.28094879,1.49038931,23.55935704,0,2.160184033,26.98421084,45.52490999
305020106,10,0,34204500,46205100,27682200,3456000,42284700,40482000,81045000,12.42176137,16.77991862,10.05311239,1.255086532,15.35617983,14.70150839,29.43243287
305020107,10,0,36663300,49898700,74308500,58927500,45532800,54430200,349401600,5.478982238,7.45688716,11.10470011,8.806155634,6.804444839,8.13407683,52.21475319
305020201,10,0,39620700,16370100,40226400,952200,91498500,73488600,165657600,9.261195458,3.826451723,9.402775645,0.222573309,21.38744375,17.1776947,38.72186541
305020202,10,0,52417800,53326800,8399700,0,141498900,0,100017000,14.73816862,14.99374965,2.361720541,0,39.78485644,0,28.12150474
305020503,10,0,42489900,65340900,167074200,0,58593600,212349600,194333400,5.740469636,8.82768499,22.57205529,0,7.916111398,28.68885149,26.25482719
305020603,10,0,71813700,21132000,43264800,42965100,169405200,107212500,197863200,10.98645848,3.23289067,6.618889279,6.573039509,25.91654791,16.40196342,30.27021073
304020605,10,0,85133700,39539700,5220000,2961000,139930200,142539300,60140700,17.90537087,8.316013432,1.097873533,0.622759297,29.43020364,29.97895111,12.64882811
306011001,10,0,27343800,2849400,25123500,22500,32963400,128913300,113391900,8.270766751,0.861867143,7.5991855,0.006805647,9.97054516,38.99281868,34.29801112
306011002,10,0,26157600,2479500,22067100,36532800,16853400,22134600,135730800,9.985501371,0.946533728,8.423978396,13.94616954,6.433680797,8.449746102,51.81439006
