HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D
304020801,10,2,110889900,24478200,4551300,531000,135446400,79967700,0
304020802,10,2,66909600,10710900,2977200,737100,79689600,36645300,0
304020803,10,2,107149500,14470200,0,2406600,85923900,40456800,25091100
304020804,10,2,15129000,0,0,1382400,33193800,1667700,0
305011202,10,2,25795800,14775300,38141100,0,13094100,75557700,372030300
305011203,10,2,70648200,4347000,10202400,674100,94364100,13432500,65061900
305011204,10,2,41077800,0,568800,2960100,32775300,41530500,123136200
305020101,10,2,117000,13219200,20127600,0,1993500,23571900,21732300
305020102,10,2,7809300,13662000,37944000,0,7296300,57682800,201724200
305020103,10,2,31492800,11209500,57067200,2660400,47880900,111474000,193531500
305020104,10,2,35757000,16502400,8543700,2799900,104658300,1869300,47064600
305020105,10,2,1493100,8352000,131581800,0,11958300,148209300,251348400
305020106,10,2,33169500,45244800,27102600,577800,40864500,39271500,60476400
305020107,10,2,35411400,48480300,73092600,16218900,44601300,52939800,315823500
305020201,10,2,38552400,15990300,39697200,39600,85927500,68778000,153951300
305020202,10,2,48770100,48942000,8212500,0,136552500,0,16074900
305020503,10,2,41813100,64845900,166200300,0,56747700,208063800,188773200
305020603,10,2,67903200,20374200,42507000,14147100,138366900,101376000,136697400
305020604,10,2,50205600,70088400,8033400,0,134353800,0,12642300
305020702,10,2,47890800,102375900,57640500,0,42970500,88111800,5376600
305020705,10,2,40434300,75132000,107920800,3627000,85864500,368555400,42492600
305020706,10,2,52820100,64607400,51882300,3255300,80317800,118887300,27101700
305020707,10,2,123093900,21372300,14300100,16902900,51085800,107673300,200131200
305020708,10,2,67339800,17714700,28630800,405000,51919200,176385600,18396900
305020709,10,2,23664600,10052100,40527000,8910000,5205600,119691900,112005900
305020710,10,2,29167200,2592000,5465700,19086300,22120200,33227100,99768600
305020711,10,2,53325000,6628500,6539400,15687000,21274200,34159500,28893600
305020801,10,2,31954500,29692800,24488100,0,19599300,47616300,3609900
305020803,10,2,42779700,21888900,14063400,0,69982200,62394300,3786300
305020804,10,2,134289000,27708300,37111500,6887700,87643800,175680900,59907600
305020805,10,2,65089800,5533200,210600,5518800,22564800,10005300,2062800
305020806,10,2,152547300,19513800,24520500,28913400,62765100,86819400,173908800
305020901,10,2,1675800,1323000,0,0,9531000,0,3753900
305020902,10,2,69747300,12294000,2269800,0,143476200,0,15517800
305021001,10,2,24262200,6400800,0,4248900,10195200,1309500,0
306010901,10,2,126205200,126262800,133047900,95970600,20986200,119506500,201141900
306010902,10,2,135252900,28323900,918900,2709900,75765600,125307000,124974900
306010903,10,2,95307300,14450400,79389000,32323500,85878000,230098500,375471900
306011001,10,2,27158400,2803500,24111000,22500,32305500,124452000,109127700
306011002,10,2,25625700,2461500,21560400,5051700,16270200,18903600,127835100
306011003,10,2,73790100,14344200,1132200,6371100,60980400,11902500,4650300
306020206,10,2,122125500,37177200,6975900,0,52486200,142583400,131831100
306020306,10,2,121615200,11670300,24211800,778500,50827500,224964900,74687400
306020401,10,2,33795000,0,2270700,5843700,10364400,13060800,577800
306020402,10,2,21127500,1557000,9632700,2912400,23278500,145242900,102883500
306020403,10,2,48463200,0,10331100,4938300,21598200,119365200,38653200
306020405,10,2,46944900,0,23692500,5372100,35798400,96456600,114055200
30602020605,12,0,19002600,554400,1770300,0,8457300,52288200,18601200
30601090202,12,0,45957600,10805400,0,0,20358000,77090400,71514900
30601090203,12,0,39833100,6452100,0,0,35875800,36533700,40579200
30602040502,12,0,34639200,0,7646400,110784600,18459900,14096700,4779900
30602040101,12,0,18049500,0,1487700,31174200,6526800,8748000,699300
30602040201,12,0,10831500,1575900,3973500,180900,18535500,88488900,67309200
30602040202,12,0,5454000,0,951300,0,1445400,14855400,13104900
30602040203,12,0,5158800,0,5010300,72567000,4640400,49738500,31324500
30602040301,12,0,189000,0,6161400,5405400,4940100,80611200,60652800
30602040302,12,0,6744600,0,162000,251100,678600,13255200,17100
30602030606,12,0,10593000,2763000,4142700,0,6158700,87624000,33516900
30602040102,12,0,18045000,0,1024200,100162800,4745700,5695200,53100
30602040303,12,0,15624000,0,816300,17794800,8560800,16835400,1429200
30602040304,12,0,30783600,0,3716100,93813300,9392400,13307400,1461600
30601090107,12,0,40057200,8689500,12101400,19458900,6954300,20261700,58631400
30601090305,12,0,23842800,1563300,1162800,4644000,37548000,27481500,121079700
30601090307,12,0,25169400,3611700,10071000,21348000,44996400,113269500,218980800
30601090309,12,0,656100,0,0,0,38700,0,0
30402060403,12,0,1079100,6444900,414000,0,58946400,69094800,0
30402060404,12,0,960300,3781800,0,0,22234500,10692900,0
30402060405,12,0,1555200,3728700,3895200,0,48203100,53520300,7577100
30402060506,12,0,3742200,1257300,2296800,1636200,17552700,9056700,17376300
30402060601,12,0,2021400,566100,1863000,0,14263200,32970600,6698700
30402080103,12,0,24066000,9425700,267300,0,33508800,14159700,0
30402060604,12,0,3413700,1008000,906300,172800,12415500,14042700,592200
30402060602,12,0,3546000,4675500,1791000,635400,30426300,42707700,4496400
30402060603,12,0,8750700,5378400,917100,0,44273700,20600100,0
30402060605,12,0,4766400,106200,4683600,279900,3030300,14761800,5289300
30402080107,12,0,16237800,0,0,1797300,7952400,1547100,0
30402080108,12,0,1950300,0,0,0,0,0,0
30402080201,12,0,6381900,1954800,96300,0,18047700,9850500,0
30402080106,12,0,30353400,2418300,1543500,4043700,14884200,11239200,0
30402080205,12,0,1755000,0,0,4500,0,0,0
30402080302,12,0,10008900,1638900,0,1232100,9681300,2274300,0
30402080204,12,0,36776700,4703400,545400,3227400,35838000,10800900,0
30402080202,12,0,14927400,2832300,1535400,0,20530800,9278100,0
30402080203,12,0,9837900,1285200,808200,551700,11746800,7209000,0
30402060503,12,0,9547200,9168300,340200,34200,16459200,10187100,345600
30402060701,12,0,6016500,2499300,747900,0,37318500,54810900,1996200
30402060702,12,0,4400100,1087200,5508900,2978100,16934400,44288100,14193900
30402060703,12,0,7255800,2342700,1321200,1485900,18926100,52926300,59658300
30402060704,12,0,480600,69300,315900,272700,14320800,20179800,17216100
30402080303,12,0,15400800,195300,0,13060800,4419000,2109600,969300
30402060504,12,0,9405000,7450200,1364400,593100,29243700,8830800,4548600
30402060505,12,0,23589900,10811700,937800,70200,39582900,35779500,12245400
30502010604,12,0,12765600,11234700,3378600,3415500,11966400,8253000,28461600
30502010605,12,0,9722700,23020200,4473900,0,15210000,0,18604800
30502010702,12,0,4125600,12891600,16456500,3809700,6109200,18766800,61515000
30502010501,12,0,669600,1785600,11471400,0,4959000,20449800,11113200
30502010305,12,0,8334900,4155300,14093100,1825200,6366600,18568800,23975100
30502010306,12,0,1694700,1964700,10043100,5194800,782100,14927400,31634100
30502010401,12,0,21258900,7833600,3420000,4204800,79653600,160200,39488400
30502010402,12,0,15231600,9170100,5877000,12117600,32040900,1782900,32626800
30502010502,12,0,36000,657000,8332200,0,3485700,10276200,57852000
30502010503,12,0,900,1513800,16788600,0,975600,26521200,29417400
30502010504,12,0,0,2647800,35578800,0,1541700,47258100,45563400
30502010505,12,0,42300,243900,15830100,0,114300,22259700,28494000
30502010506,12,0,828900,1538100,44442000,0,1070100,24927300,83511000
30502010601,12,0,2752200,7478100,11601000,0,2763900,21379500,8186400
30502020104,12,0,15678900,3491100,13494600,0,46059300,6300,30493800
30502020105,12,0,10891800,7132500,6994800,952200,28412100,30095100,60102900
30502020201,12,0,20586600,1229400,317700,0,32513400,0,3633300
30501120301,12,0,18216900,380700,517500,0,40303800,4231800,23418900
30501120302,12,0,18192600,2646000,7470900,0,32175900,7338600,31024800
30502020202,12,0,10478700,34066800,7956900,0,62654400,0,30697200
30502020203,12,0,7885800,5645700,0,0,16341300,0,24073200
30501120204,12,0,2763900,334800,8294400,0,0,13934700,92781000
30502010704,12,0,162000,4737600,18734400,10499400,1971900,15015600,106114500
